sample_id,site,date,fish,length_mm,pic_1,pic_2
603,spirit mound,7/19/2019,common shiner,67,,
532,little bridge,7/19/2019,johnny darter,49/52,,
605,spirit mound,7/19/2019,creek chub,85,,
606,spirit mound,6/7/2019,black bullhead catfish,98,,
607,little bridge,6/6/2019,johnny darter,44,,
608,spirit mound,6/7/2019,creek chub,90,,
609,gunderson,6/5/2019,bluegill,92,,
610,little bridge,6/6/2019,creek chub,96,,
611,burbank,6/6/2019,green sunfish,58,,
612,burbank,6/6/2019,spotfin shiner,69,,
613,little bridge,6/6/2019,creek chub,NA,,
614,burbank,6/6/2019,spotfin shiner,54,,
615,little bridge,6/6/2019,fathead minnow,70,,
616,little bridge,6/6/2019,fathead minnow,56,,
617,little bridge,6/6/2019,sand shiner,67,,
